tip_id,DOB,GraduatedDate,InterviewedDate,StartDate,EndDate,DriversLicense,Course,CreatedDate
114,1981-02-21,2013-10-16,,2013-08-12,2013-10-16,No,Introduction to Masonry,2018-07-12
115,1967-06-05,2014-08-06,,2014-06-18,2014-08-06,Yes,Introduction to Masonry,2018-07-12
116,2013-03-02,,,2013-06-10,2013-06-14,No,Introduction to Masonry,2018-07-12
117,1992-12-08,2014-04-21,,2014-01-27,2014-04-21,No,Introduction to Masonry,2018-07-12
118,1985-12-08,,,2014-03-17,2014-04-16,Yes,Introduction to Masonry,2018-07-12
119,1983-02-21,,,2010-08-03,2010-08-08,Yes,Introduction to Masonry,2018-07-12
120,1986-07-29,2014-01-24,,2013-11-12,2014-01-24,Yes,Introduction to Masonry,2018-07-12
121,1993-04-29,,,2013-04-22,2013-05-14,Yes,Introduction to Masonry,2018-07-12
122,1979-11-07,2011-03-25,,2011-01-06,2011-03-25,No,Introduction to Masonry,2018-07-12
123,1992-08-01,2012-06-22,,2012-04-16,2012-06-22,Yes,Introduction to Masonry,2018-07-12
124,1988-06-21,2013-04-29,,2013-03-04,2013-04-29,No,Introduction to Masonry,2018-07-12
125,1979-12-10,,,2013-08-26,2013-09-17,Yes,Introduction to Masonry,2018-07-12
126,1992-07-22,2014-01-03,,2013-10-31,2014-01-03,Yes,Introduction to Masonry,2018-07-12
127,1989-09-17,,,2014-07-08,2014-07-12,No,Introduction to Masonry,2018-07-12
128,1981-04-13,,,2013-09-11,2013-11-04,No,Introduction to Masonry,2018-07-12
129,1985-01-29,2013-02-18,,2012-12-03,2013-02-18,No,Introduction to Masonry,2018-07-12
130,1974-05-05,2013-04-23,,2013-02-07,2013-04-23,Yes,Introduction to Masonry,2018-07-12
131,1990-12-07,,,2012-02-13,2012-02-28,,Introduction to Masonry,2018-07-12
132,1984-11-02,,,2013-07-15,2013-07-19,No,Introduction to Masonry,2018-07-12
133,1986-10-14,2011-05-05,,2011-01-31,2011-05-05,No,Introduction to Masonry,2018-07-12
134,1970-05-09,2011-05-05,,2011-02-17,2011-05-05,No,Introduction to Masonry,2018-07-12
135,1983-11-07,2012-04-12,,2012-02-13,2012-04-12,,Introduction to Masonry,2018-07-12
136,1976-04-02,2014-06-06,,2014-03-31,2014-06-06,Yes,Introduction to Masonry,2018-07-12
137,1978-06-01,,,2014-08-11,2014-09-22,Yes,Introduction to Masonry,2018-07-12
138,1987-08-23,,,2012-12-04,2012-12-15,No,Introduction to Masonry,2018-07-12
139,1971-02-08,2010-09-02,,2010-08-03,2010-09-02,Yes,Introduction to Masonry,2018-07-12
140,1986-05-13,,,2010-07-20,2010-07-30,,Introduction to Masonry,2018-07-12
141,1992-05-07,,,2014-04-23,2014-06-13,Yes,,2018-07-12
142,1986-09-25,2014-03-14,,2013-12-31,2014-03-14,Yes,Introduction to Masonry,2018-07-12
143,1981-04-11,,,2010-06-22,2010-08-27,No,Introduction to Masonry,2018-07-12
144,1976-10-23,2012-09-05,,2012-08-13,2012-09-05,No,Introduction to Masonry,2018-07-12
145,1978-06-10,,,2013-02-20,2013-03-13,No,Introduction to Masonry,2018-07-12
146,1984-09-19,,,2009-01-12,2009-01-17,,Introduction to Masonry,2018-07-12
147,1988-09-27,,,2009-01-12,2009-01-15,,Introduction to Masonry,2018-07-12
148,1987-10-21,2012-08-07,,2012-07-16,2012-08-07,Yes,Introduction to Masonry,2018-07-12
149,1992-11-11,2012-04-16,,2012-02-16,2012-04-16,Yes,Introduction to Masonry,2018-07-12
150,1984-03-09,2012-12-11,,2012-10-01,2012-12-11,No,Introduction to Masonry,2018-07-12
151,1968-06-13,,,2013-12-30,2013-12-31,Yes,Introduction to Masonry,2018-07-12
152,1986-05-06,,,2012-06-27,2012-07-14,No,Introduction to Masonry,2018-07-12
153,1984-06-29,,,2013-09-11,2013-10-07,Yes,Introduction to Masonry,2018-07-12
154,1971-02-21,,,2010-07-26,2010-07-31,No,Introduction to Masonry,2018-07-12
155,1980-03-02,,,2012-09-14,2012-11-17,No,Introduction to Masonry,2018-07-12
156,1989-07-30,,,2012-08-23,2012-09-07,Yes,Introduction to Masonry,2018-07-12
157,1985-02-17,2013-07-12,,2013-05-06,2013-07-12,No,Introduction to Masonry,2018-07-12
158,1972-02-24,,,2014-08-12,2014-08-19,No,Introduction to Masonry,2018-07-12
159,1988-10-21,2009-03-23,,2009-01-12,2009-03-23,Yes,Introduction to Masonry,2018-07-12
160,1994-10-07,,,2014-03-19,2014-05-12,No,Introduction to Masonry,2018-07-12
161,1980-01-21,2012-06-22,,2012-04-16,2012-06-22,No,Introduction to Masonry,2018-07-12
162,1990-08-03,,,2012-06-26,2012-07-12,No,Introduction to Masonry,2018-07-12
163,1979-12-13,,,2013-09-11,2013-10-15,No,Introduction to Masonry,2018-07-12
164,1976-06-29,2013-04-29,,2013-02-20,2013-04-29,No,Introduction to Masonry,2018-07-12
165,1985-05-21,,,2012-03-28,2012-05-03,Yes,Introduction to Masonry,2018-07-12
166,1986-10-15,2014-08-27,,2014-06-16,2014-08-27,No,Introduction to Masonry,2018-07-12
167,1971-10-22,2014-09-10,,2014-07-09,2014-09-10,No,Introduction to Masonry,2018-07-12
168,1985-01-08,2013-09-06,,2013-07-01,2013-09-06,No,Introduction to Masonry,2018-07-12
169,1975-07-19,2013-02-15,,2012-11-27,2013-02-15,No,Introduction to Masonry,2018-07-12
170,1991-12-23,,,2014-02-21,2014-02-25,No,Introduction to Masonry,2018-07-12
171,1987-08-17,2013-02-04,,2012-11-26,2013-02-04,No,Introduction to Masonry,2018-07-12
172,1996-06-09,2013-05-03,,2013-02-25,2013-05-03,No,Introduction to Masonry,2018-07-12
173,1982-02-14,2013-05-01,,2013-02-25,2013-05-01,No,Introduction to Masonry,2018-07-12
174,1987-07-06,,,2009-01-12,2009-01-15,,Introduction to Masonry,2018-07-12
175,1978-11-29,,,2014-01-13,2014-01-31,No,Introduction to Masonry,2018-07-12
176,1983-10-30,2014-06-12,,2014-06-10,2014-06-12,No,Introduction to Masonry,2018-07-12
177,1982-08-11,,,2012-09-07,2012-09-20,No,Introduction to Masonry,2018-07-12
178,1979-07-07,2014-10-16,,2014-08-14,2014-10-16,Yes,Introduction to Masonry,2018-07-12
179,1991-03-01,,,2014-08-15,2014-08-18,No,Introduction to Masonry,2018-07-12
180,1986-06-25,2014-08-21,,2014-08-21,2014-08-21,No,Introduction to Masonry,2018-07-12
181,1984-07-22,2014-11-12,,2014-08-22,2014-11-12,Yes,Introduction to Masonry,2018-07-12
182,1987-08-03,2014-11-05,,2014-08-25,2014-11-05,No,Introduction to Masonry,2018-07-12
183,1987-05-04,2014-11-10,,2014-08-28,2014-11-10,No,Introduction to Masonry,2018-07-12
184,1987-09-05,,,2014-09-11,2014-09-12,No,Introduction to Masonry,2018-07-12
185,1981-03-08,2014-11-26,,2014-09-15,2014-11-26,No,Introduction to Masonry,2018-07-12
186,1989-10-02,2014-12-03,,2014-09-18,2014-12-03,Yes,Introduction to Masonry,2018-07-12
187,1986-12-04,,,2014-09-17,2014-09-19,No,Introduction to Masonry,2018-07-12
188,1977-06-20,,2020-07-21,2020-07-27,2020-10-30,Yes,Introduction to Masonry,2018-07-12
189,1991-07-05,,,,,No,Introduction to Masonry,2018-07-12
190,1990-06-20,,,,,No,Introduction to Masonry,2018-07-12
191,1989-01-05,2014-12-23,,2014-10-08,2014-12-23,No,Introduction to Masonry,2018-07-12
192,1980-12-17,,,,,No,Introduction to Masonry,2018-07-12
193,1979-08-10,,,2014-10-21,2014-10-27,No,Introduction to Masonry,2018-07-12
194,1989-08-02,,,2020-10-05,2020-10-05,No,Introduction to Masonry,2018-07-12
195,1990-01-03,2015-01-23,,2014-11-05,2015-01-23,Yes,Introduction to Masonry,2018-07-12
196,1981-05-04,2015-01-30,,2014-11-11,2015-01-30,No,Introduction to Masonry,2018-07-12
197,1970-09-07,,,,,No,Introduction to Masonry,2018-07-12
198,1989-06-23,,,,,,Introduction to Masonry,2018-07-12
199,1991-09-30,,,2014-11-12,2014-11-12,No,Introduction to Masonry,2018-07-12
200,1991-04-06,,,2014-11-13,2014-11-20,No,Introduction to Masonry,2018-07-12
201,1985-01-25,,,,,Yes,Introduction to Masonry,2018-07-12
202,1975-07-19,,,2014-11-18,2014-12-05,Yes,Introduction to Masonry,2018-07-12
203,1981-12-19,2015-02-06,,2014-11-18,2015-02-06,No,Introduction to Masonry,2018-07-12
204,1990-01-16,,,2014-11-19,2015-01-08,No,Introduction to Masonry,2018-07-12
205,1988-12-25,2015-02-27,,2014-12-04,2015-02-27,No,Introduction to Masonry,2018-07-12
206,1988-12-09,2015-02-17,,2014-12-01,2015-02-17,No,Introduction to Masonry,2018-07-12
207,1989-09-06,2015-02-27,,2014-12-09,2015-02-27,No,Introduction to Masonry,2018-07-12
208,1970-03-29,,,,,Yes,Introduction to Masonry,2018-07-12
209,1979-05-28,2015-03-06,,2014-12-22,2015-03-06,No,Introduction to Masonry,2018-07-12
210,1984-11-16,2015-04-17,,2015-02-02,2015-04-17,Yes,Introduction to Masonry,2018-07-12
211,1992-12-10,2015-03-18,,2015-01-19,2015-03-18,No,Introduction to Masonry,2018-07-12
212,1984-08-21,2015-04-02,,2015-01-19,2015-04-02,No,Introduction to Masonry,2018-07-12
213,1972-09-30,2015-05-01,,2015-02-16,2015-05-01,No,Introduction to Masonry,2018-07-12
214,1990-02-28,,,,,,Introduction to Masonry,2018-07-12
215,1992-02-02,,,,,Yes,Introduction to Masonry,2018-07-12
216,1987-08-03,2015-05-01,,2015-02-10,2015-05-01,No,Introduction to Masonry,2018-07-12
217,1990-12-18,2015-04-14,,2015-01-18,2015-04-14,Yes,Introduction to Masonry,2018-07-12
218,1991-09-11,,,2018-02-12,,Yes,Introduction to Masonry,2018-07-12
219,1991-07-19,,,,,Yes,Introduction to Masonry,2018-07-12
220,1994-09-03,,,,,Yes,Introduction to Masonry,2018-07-12
221,1979-10-27,,,2015-03-02,2015-03-05,No,Introduction to Masonry,2018-07-12
222,1982-11-14,2015-04-27,,2015-03-09,2015-04-27,No,Introduction to Masonry,2018-07-12
223,1988-01-21,,,2015-03-23,2015-04-17,Yes,Introduction to Masonry,2018-07-12
224,1987-02-28,,,,,,Introduction to Masonry,2018-07-12
225,1981-11-24,,,,,,Introduction to Masonry,2018-07-12
226,1980-02-09,,,2015-03-04,2015-04-20,Yes,Introduction to Masonry,2018-07-12
227,1989-04-27,2015-06-12,,2015-03-23,2015-06-12,No,Introduction to Masonry,2018-07-12
228,1996-02-17,,,2015-04-13,2015-04-14,No,Introduction to Masonry,2018-07-12
229,1990-03-02,2015-06-26,,2015-04-13,2015-06-26,No,Introduction to Masonry,2018-07-12
230,1981-03-11,,,,,,Introduction to Masonry,2018-07-12
231,1984-02-27,,,2015-04-13,2015-04-16,Yes,Introduction to Masonry,2018-07-12
232,1992-09-02,,,,,Yes,Introduction to Masonry,2018-07-12
233,1983-12-05,,,,,No,Introduction to Masonry,2018-07-12
234,1977-12-17,,,2015-04-13,2015-04-16,Yes,Introduction to Masonry,2018-07-12
235,1984-11-25,,,2015-04-27,2015-05-27,No,Introduction to Masonry,2018-07-12
236,1988-09-27,2015-06-26,,2015-04-13,2015-06-26,No,Introduction to Masonry,2018-07-12
237,1977-02-17,2015-06-29,,2015-04-29,2015-06-29,No,Introduction to Masonry,2018-07-12
238,1988-10-20,2015-07-10,,2015-04-29,2015-07-10,No,Introduction to Masonry,2018-07-12
239,1976-07-22,,,,,No,Introduction to Masonry,2018-07-12
240,1974-11-17,2015-05-22,,2015-05-04,2015-05-22,No,Introduction to Masonry,2018-07-12
241,1983-10-30,,,,,No,Introduction to Masonry,2018-07-12
242,1984-03-27,2015-07-10,,2015-04-27,2015-07-10,Yes,Introduction to Masonry,2018-07-12
243,1987-10-27,,,2015-05-11,2015-05-22,No,Introduction to Masonry,2018-07-12
244,1984-02-12,2015-05-22,,2015-04-27,2015-05-22,Yes,Introduction to Masonry,2018-07-12
245,1992-06-13,,,2015-05-04,2015-05-18,No,Introduction to Masonry,2018-07-12
246,1999-03-03,2015-07-31,,2015-05-20,2015-07-31,No,Introduction to Masonry,2018-07-12
247,1981-03-17,2015-07-31,,2015-05-18,2015-07-31,No,Introduction to Masonry,2018-07-12
248,1991-12-12,2015-07-24,,2015-05-11,2015-07-24,,Introduction to Masonry,2018-07-12
249,1991-06-13,2015-08-07,,2015-05-26,2015-08-07,No,Introduction to Masonry,2018-07-12
250,1983-04-14,,,2015-05-12,2015-05-13,No,Introduction to Masonry,2018-07-12
251,1987-05-20,2016-08-12,,2015-05-18,2016-08-12,No,Introduction to Masonry,2018-07-12
252,1982-05-09,2015-08-07,,2015-05-26,2015-08-07,No,Introduction to Masonry,2018-07-12
253,1972-11-17,2015-08-14,,2015-06-01,2015-08-14,No,Introduction to Masonry,2018-07-12
254,1989-12-30,,,,,Yes,Introduction to Masonry,2018-07-12
255,1985-02-23,,,,,Yes,Introduction to Masonry,2018-07-12
256,1974-07-23,,,2017-08-22,2017-08-25,No,Introduction to Masonry,2018-07-12
257,1994-07-12,,,,,Yes,Introduction to Masonry,2018-07-12
258,1992-03-29,,,2015-06-01,2015-06-16,Yes,Introduction to Masonry,2018-07-12
259,1991-10-03,2015-08-28,,2015-06-01,2015-08-28,Yes,Introduction to Masonry,2018-07-12
260,1970-10-02,,,2015-06-08,2015-06-10,Yes,Introduction to Masonry,2018-07-12
261,1978-06-21,2015-08-28,,2015-06-15,2015-08-28,No,Introduction to Masonry,2018-07-12
262,1988-04-16,,,2015-06-17,2015-06-30,No,Introduction to Masonry,2018-07-12
263,1976-07-26,,,,,No,Introduction to Masonry,2018-07-12
264,1983-09-18,2015-08-28,,2015-06-08,2015-08-28,No,Introduction to Masonry,2018-07-12
265,1975-03-05,,,,,No,Introduction to Masonry,2018-07-12
266,1980-04-01,,,,,No,Introduction to Masonry,2018-07-12
267,1988-01-22,,,2015-06-22,2015-11-17,No,Introduction to Masonry,2018-07-12
268,1982-12-17,,,2015-06-22,2015-07-16,Yes,Introduction to Masonry,2018-07-12
269,1988-06-02,,,,,No,Introduction to Masonry,2018-07-12
270,1976-11-23,,,,,Yes,Introduction to Masonry,2018-07-12
271,1990-04-10,2015-09-11,,2015-06-29,2015-09-11,No,Introduction to Masonry,2018-07-12
272,1990-11-08,2015-10-23,,2015-08-10,2015-10-23,No,Introduction to Masonry,2018-07-12
273,1972-09-29,,,,,No,Introduction to Masonry,2018-07-12
274,1991-12-11,2015-09-18,,2015-07-08,2015-09-18,,Introduction to Masonry,2018-07-12
275,1973-04-01,,,2015-07-13,2015-07-14,Yes,Introduction to Masonry,2018-07-12
276,1990-12-08,,,2015-07-13,2015-08-03,Yes,Introduction to Masonry,2018-07-12
277,1988-06-02,,,,,,Introduction to Masonry,2018-07-12
278,1982-05-21,,,2015-07-13,2015-08-21,No,Introduction to Masonry,2018-07-12
279,1991-07-07,,,,,No,Introduction to Masonry,2018-07-12
280,1987-07-01,2015-09-30,,2015-07-14,2015-09-30,No,Introduction to Masonry,2018-07-12
281,1986-10-21,2015-10-09,,2015-07-20,2015-10-09,Yes,Introduction to Masonry,2018-07-12
282,1969-04-22,,,,,No,Introduction to Masonry,2018-07-12
283,1989-04-18,2015-10-02,,2015-07-20,2015-10-02,No,Introduction to Masonry,2018-07-12
284,1978-03-03,,,,,No,Introduction to Masonry,2018-07-12
285,1984-03-30,,,2015-07-20,2015-08-07,No,Introduction to Masonry,2018-07-12
286,1976-06-16,2015-10-09,,2015-07-28,2015-10-09,No,Introduction to Masonry,2018-07-12
287,1986-01-28,,,2015-08-04,2015-09-01,No,Introduction to Masonry,2018-07-12
288,1993-01-04,2015-10-09,,2015-08-03,2015-10-09,No,Introduction to Masonry,2018-07-12
289,1990-11-14,2015-10-14,,2015-08-18,2015-10-14,Yes,Introduction to Masonry,2018-07-12
290,1976-06-06,,,,,No,Introduction to Masonry,2018-07-12
291,1981-11-26,2015-10-27,,2015-08-10,2015-10-27,No,Introduction to Masonry,2018-07-12
292,1966-09-24,,,,,No,Introduction to Masonry,2018-07-12
293,1992-04-13,,,2015-08-31,2015-09-28,No,Introduction to Masonry,2018-07-12
294,1990-07-29,,,2015-08-31,2015-09-08,No,Introduction to Masonry,2018-07-12
295,1985-12-19,,,2015-08-17,2015-09-10,No,Introduction to Masonry,2018-07-12
296,1985-10-16,,,,,No,Introduction to Masonry,2018-07-12
297,1986-08-07,,,2015-08-31,2015-11-12,No,Introduction to Masonry,2018-07-12
298,1994-10-15,2015-11-13,,2015-08-31,2015-11-13,Yes,Introduction to Masonry,2018-07-12
299,1992-12-15,,,2015-09-14,2015-10-14,Yes,Introduction to Masonry,2018-07-12
300,1990-12-29,,,,,No,Introduction to Masonry,2018-07-12
301,1995-11-18,2015-11-30,,2015-09-14,2015-11-30,No,Introduction to Masonry,2018-07-12
302,1994-01-27,,,,,No,Introduction to Masonry,2018-07-12
303,1993-01-14,,,2015-09-21,2015-11-30,Yes,Introduction to Masonry,2018-07-12
304,1987-05-17,,,2015-09-21,2015-11-20,No,Introduction to Masonry,2018-07-12
305,1991-09-29,,,2015-09-28,2015-11-04,No,Introduction to Masonry,2018-07-12
